,precision,recall,f1-score,support
0,1.0,0.12533333333333332,0.22274881516587677,375.0
1,1.0,0.021333333333333333,0.04177545691906005,375.0
2,0.27252906976744184,1.0,0.42832667047401485,375.0
3,1.0,0.184,0.3108108108108108,375.0
accuracy,0.33266666666666667,0.33266666666666667,0.33266666666666667,0.33266666666666667
macro avg,0.8181322674418605,0.33266666666666667,0.2509154383424406,1500.0
weighted avg,0.8181322674418604,0.33266666666666667,0.2509154383424406,1500.0
