,precision,recall,f1-score,support
0,1.0,0.12,0.21428571428571427,350.0
1,0.2749410840534171,1.0,0.4313000616142945,350.0
2,1.0,0.05714285714285714,0.10810810810810811,350.0
3,1.0,0.18571428571428572,0.3132530120481928,350.0
accuracy,0.3407142857142857,0.3407142857142857,0.3407142857142857,0.3407142857142857
macro avg,0.8187352710133543,0.34071428571428575,0.26673672401407744,1400.0
weighted avg,0.8187352710133543,0.3407142857142857,0.26673672401407744,1400.0
