,precision,recall,f1-score,support
0,0.957983193277311,0.912,0.9344262295081968,375.0
1,0.8354430379746836,0.88,0.8571428571428571,375.0
2,0.8274111675126904,0.8693333333333333,0.8478543563068921,375.0
3,0.9519774011299436,0.8986666666666666,0.9245541838134431,375.0
accuracy,0.89,0.89,0.89,0.89
macro avg,0.8932036999736572,0.89,0.8909944066928472,1500.0
weighted avg,0.8932036999736571,0.89,0.8909944066928472,1500.0
